ts_code,trade_date,open,high,low,close,volume
000001.SZ,2025-12-23,11.10,11.30,11.00,11.20,12345678
000001.SZ,2025-12-24,11.20,11.45,11.10,11.40,13345678
000001.SZ,2025-12-25,11.40,11.55,11.20,11.25,12001234
000001.SZ,2025-12-26,11.25,11.60,11.22,11.58,14009876
000001.SZ,2025-12-27,11.58,11.70,11.40,11.66,11000000
000001.SZ,2025-12-30,11.66,11.92,11.60,11.88,15000000
600519.SH,2025-12-23,1680.0,1698.0,1665.0,1692.0,123456
600519.SH,2025-12-24,1692.0,1705.0,1682.0,1690.0,110000
600519.SH,2025-12-25,1690.0,1712.0,1688.0,1708.0,140000
600519.SH,2025-12-26,1708.0,1720.0,1700.0,1715.0,130000
600519.SH,2025-12-27,1715.0,1718.0,1699.0,1702.0,150000
600519.SH,2025-12-30,1702.0,1728.0,1702.0,1722.0,160000


